Temperature (DegC), R_T/R_25, Alpha(%/K)
-55.0, 52.624,   6.4 
-50.0, 38.452,   6.2 
-45.0, 28.401,   6.0 
-40.0, 21.194,   5.8 
-35.0, 15.972,   5.6 
-30.0, 12.149,   5.4 
-25.0, 9.3246,   5.2 
-20.0, 7.2181,   5.0 
-15.0, 5.6332,   4.9 
-10.0, 4.4308,   4.7 
-5.0,  3.5112,   4.6 
0.0,   2.8024,   4.4 
5.0,   2.252,    4.3 
10.0,  1.8216,   4.2 
15.0,  1.4827,   4.1 
20.0,  1.2142,   3.9 
25.0,  1.0000,   3.8 
30.0,  0.82818,  3.7 
35.0,  0.68954,  3.6 
40.0,  0.57703,  3.5 
45.0,  0.48525,  3.4 
50.0,  0.41,     3.3 
55.0,  0.34798,  3.2 
60.0,  0.29663,  3.2 
65.0,  0.25392,  3.1 
70.0,  0.21824,  3.0 
75.0,  0.1883,   2.9 
80.0,  0.16307,  2.8 
85.0,  0.14174,  2.8 
90.0,  0.12362,  2.7 
95.0,  0.10818,  2.6 
100.0, 0.094973, 2.6 
105.0, 0.08364,  2.5 
110.0, 0.073881, 2.5 
115.0, 0.06545,  2.4 
120.0, 0.058144, 2.3 
125.0, 0.051794, 2.3 
130.0, 0.046259, 2.2 
135.0, 0.04142,  2.2 
140.0, 0.037179, 2.1 
145.0, 0.033451, 2.1 
150.0, 0.030166, 2.0 
155.0, 0.027264, 2.0 
160.0, 0.024694, 2.0 
165.0, 0.022414, 1.9 
170.0, 0.020385, 1.9 
175.0, 0.018577, 1.8 
180.0, 0.016961, 1.8 
185.0, 0.015514, 1.8 
190.0, 0.014216, 1.7 
195.0, 0.013049, 1.7 
200.0, 0.011999, 1.7 
205.0, 0.011051, 1.6 
210.0, 0.010194, 1.6 
215.0, 0.0094181, 1.6 
220.0, 0.0087144, 1.5 
225.0, 0.0080751, 1.5 
230.0, 0.0074933, 1.5 
235.0, 0.0069631, 1.5 
240.0, 0.0064791, 1.4 
245.0, 0.0060366, 1.4 
250.0, 0.0056316, 1.4 
255.0, 0.0052602, 1.4 
260.0, 0.0049193, 1.3 
265.0, 0.0046059, 1.3 
270.0, 0.0043173, 1.3 
275.0, 0.0040514, 1.3 
280.0, 0.003806,  1.2 
285.0, 0.0035793, 1.2 
290.0, 0.0033696, 1.2 
295.0, 0.0031753, 1.2 
300.0, 0.0029952, 1.2 
